"m_thr","p_thr","Sharpe","Ann_Ret","Trades","Score"
0.52,0.42,1.08817801030822,0.13731713947233,148,-0.345814399336955
0.64,0.58,1.07111460651191,0.139005437853961,159,-0.349648442696679
0.52,0.22,1.1304277550813,0.132877543667837,84,-0.352509908018408
0.82,0.5,1.13696856643856,0.132195478546347,63,-0.353219168893339
0.5,0.46,1.06962617131798,0.139084510250222,174,-0.354240717239632
0.6,0.42,1.09600927917034,0.136313811638097,125,-0.358319766144899
0.76,0.44,1.13224598377806,0.132568691873245,75,-0.36015231731328
0.8,0.22,1.15515485408051,0.130110711594495,36,-0.366949454317109
0.54,0.34,1.09724353745467,0.135895978450298,122,-0.376504945526781
0.58,0.34,1.09802051448767,0.135785912945445,112,-0.378402506840295
0.6,0.2,1.13621339080875,0.131838140636685,68,-0.380363900517019
0.56,0.4,1.09053165602942,0.136480854245642,134,-0.38295880778989
0.84,0.38,1.14564038305855,0.130828698021826,43,-0.383035089038055
0.5,0.5,1.06330026435151,0.13926589403987,187,-0.383415162224618
0.78,0.54,1.12712640524322,0.132674932155245,84,-0.386295261518819
0.64,0.6,1.06831427778843,0.138653589148828,164,-0.389543694689646
0.62,0.34,1.10272743389354,0.135081473360864,103,-0.392249417756149
0.64,0.34,1.10272743389354,0.135081473360864,102,-0.392249417756149
0.66,0.24,1.13202747916408,0.132060915848794,69,-0.393253692301726
0.9,0.58,1.14489044510152,0.130701660316926,45,-0.395767724456768
0.78,0.5,1.12750531301856,0.13247249690627,80,-0.396508307096768
0.54,0.58,1.0593065542397,0.139458336236443,199,-0.39696827610307
0.7,0.22,1.13784921418761,0.131404346159076,57,-0.396974755354788
0.86,0.48,1.14124432837425,0.130901344626378,50,-0.406643363621074
0.82,0.52,1.13066397650686,0.131687679373399,66,-0.425285593262006
0.54,0.4,1.08691760621415,0.136068129176203,138,-0.431864322433345
0.58,0.4,1.08765329985696,0.135958063671349,127,-0.43402618330698
0.9,0.2,1.15792113611925,0.128743644042592,20,-0.434590998627523
0.58,0.58,1.05773877003742,0.138997296668735,184,-0.435789902556278
0.88,0.48,1.14098939489543,0.130453848245105,47,-0.43621445954882
0.9,0.48,1.14459317247572,0.130066642537057,38,-0.437317590978508
0.9,0.6,1.14133224616193,0.130306646431449,46,-0.443209897181488
0.74,0.54,1.11545441865685,0.132815720636839,101,-0.452230262748383
0.78,0.24,1.143851658482,0.129902613784912,44,-0.452305794751466
0.84,0.44,1.1367412677215,0.130601966448315,49,-0.454163696208755
0.52,0.48,1.06307715446926,0.138072587030118,170,-0.459346465680709
0.74,0.5,1.11578396909533,0.132613285387864,95,-0.462759297937669
0.62,0.2,1.13035107459209,0.131092636621899,66,-0.464439718606357
0.64,0.2,1.13035107459209,0.131092636621899,65,-0.464439718606357
0.86,0.36,1.14225022811524,0.129854443664304,39,-0.465565733385735
0.86,0.38,1.14225022811524,0.129854443664304,39,-0.465565733385735
0.78,0.52,1.12130183297341,0.131964697733322,83,-0.467927417898967
0.52,0.56,1.05013176758971,0.139066812564069,195,-0.480150383803817
0.8,0.24,1.1412214648727,0.129592789312864,40,-0.488488086968338
0.76,0.28,1.134191109162,0.130155423798031,54,-0.498369461111828
