"open_thr","close_thr","m_thr","p_thr","Sharpe","Ann_Ret","Score"
0.53,0.5,0.7,0.8,1.16376131253265,0.173271567279883,1.0607717449575
0.55,0.53,0.6,0.9,1.30048266561971,0.160034994644666,1.06037150894338
0.53,0.48,0.7,0.9,1.1281046669232,0.176143630317541,1.05487018490132
0.53,0.49,0.7,0.9,1.1281046669232,0.176143630317541,1.05487018490132
0.57,0.52,0.2,0.7,1.07978789886087,0.180676763241094,1.05351411889496
0.53,0.51,0.7,0.8,1.18417306769404,0.170553363614903,1.05302805895215
0.59,0.51,0.6,1,1.14120872002943,0.174635871122839,1.05235595591133
0.53,0.48,0.7,1,1.12197939231257,0.176324376472111,1.05061911253182
0.53,0.49,0.7,1,1.12197939231257,0.176324376472111,1.05061911253182
0.59,0.51,0.6,0.8,1.17828385896545,0.170732102371944,1.04899216626118
0.53,0.48,0,1,0.779182203815482,0.209249162000919,1.04890070785461
0.53,0.49,0,1,0.779182203815482,0.209249162000919,1.04890070785461
0.59,0.5,0.7,0.9,1.15581946801992,0.17287402652806,1.04871674789571
0.55,0.5,0.7,0.8,1.15900720155599,0.172565265615184,1.04870593601253
0.55,0.53,0.5,1,1.2498614737411,0.163754615669931,1.04828813137053
0.53,0.48,0.5,1,1.04278094272652,0.183732262778358,1.04816229150833
0.53,0.49,0.5,1,1.04278094272652,0.183732262778358,1.04816229150833
0.55,0.51,0.6,0.8,1.15648493377063,0.172734938451612,1.04794168475296
0.57,0.5,0.6,1,1.10784757841076,0.177369542946214,1.04731589823359
0.59,0.48,0.6,0.8,1.11786477003026,0.176172662475298,1.04493524034885
0.59,0.49,0.6,0.8,1.11786477003026,0.176172662475298,1.04493524034885
0.53,0.51,0,1,0.795670091394391,0.207158374604837,1.04373166561892
0.55,0.48,0.7,0.9,1.12357173122251,0.175437328652842,1.04302545778728
0.55,0.49,0.7,0.9,1.12357173122251,0.175437328652842,1.04302545778728
0.57,0.52,0.1,0.8,1.00809057344562,0.186543024146692,1.04259182484545
0.57,0.53,0.4,1,1.18568841510861,0.169346680079311,1.04204763875394
0.57,0.48,0.7,0.9,1.12287589135701,0.175291502720312,1.0408198941211
0.57,0.49,0.7,0.9,1.12287589135701,0.175291502720312,1.0408198941211
0.57,0.51,0.6,1,1.12729134823425,0.174850629152593,1.0406682691603
0.59,0.51,0.7,0.9,1.18171520323112,0.169527723817612,1.0399508013454
0.55,0.48,0.7,1,1.11747577877743,0.175618074807412,1.03880369519491
0.55,0.49,0.7,1,1.11747577877743,0.175618074807412,1.03880369519491
0.59,0.52,0.6,0.8,1.26258997727449,0.161524282252836,1.03791630367937
0.55,0.48,0.5,1,1.03876471734988,0.183025961113659,1.03683405641175
0.55,0.49,0.5,1,1.03876471734988,0.183025961113659,1.03683405641175
0.57,0.48,0.7,1,1.11678162027525,0.175472248874881,1.03659981218169
0.57,0.49,0.7,1,1.11678162027525,0.175472248874881,1.03659981218169
0.57,0.52,0.1,0.9,0.97892630402332,0.188688371367372,1.03565480426105
0.57,0.48,0.5,1,1.03810979333271,0.182880135181128,1.03466939130724
0.57,0.49,0.5,1,1.03810979333271,0.182880135181128,1.03466939130724
0.55,0.51,0.7,0.9,1.15765773090895,0.170880401611513,1.02991038132056
0.59,0.52,0.3,0.8,1.11895676595592,0.174611642581456,1.02986251820946
0.59,0.5,0.6,0.8,1.13987617779894,0.172533979481593,1.02925902915957
0.55,0.48,0,1,0.773921891388549,0.20783655867152,1.02901520477825
0.55,0.49,0,1,0.773921891388549,0.20783655867152,1.02901520477825
0.61,0.52,0,1,1.09275731823588,0.176853501351736,1.02688843735825
0.55,0.51,0.6,0.9,1.12122316099283,0.174086015463301,1.02668512202019
0.59,0.51,0,0.7,0.915171395255907,0.193948710098038,1.0263972876046
0.59,0.48,0,1,0.774715391001877,0.207500718948278,1.02633077124771
0.59,0.49,0,1,0.774715391001877,0.207500718948278,1.02633077124771
0.53,0.5,0.5,0.9,1.05689253149007,0.180223303083314,1.02593287502401
0.57,0.48,0,1,0.773059303477863,0.20754490680646,1.02513294572853
0.57,0.49,0,1,0.773059303477863,0.20754490680646,1.02513294572853
